   time      numb     lati     long      area       tilt
19780403    1060     15.29     35.53      20.0       -2.78
19780403    1061     13.09    129.83       7.0       -5.18
19780411    1062    -26.72      6.97     268.0       27.37
19780406    1063     15.79    354.87     110.0       38.88
19780408    1064    -29.81    331.31     152.0        9.38
19780407    1065     16.20    339.46      52.0        6.70
19780409    1066     14.91      4.54      28.0       25.67
19780408    1067     34.26     45.83      12.0       29.01
19780409    1069    -33.77    307.66      86.0       -3.44
19780416    1070     13.80    294.59     388.0      -12.53
19780409    1072    -27.00    350.73       7.0      -15.64
19780415    1073     16.98    276.83     233.0       30.58
19780415    1074    -44.05    250.33     120.0       34.70
19780416    1075     19.90    306.80     111.0        7.80
19780414    1077    -19.97    291.52      66.0       10.51
19780412    1078     19.26    265.82       7.0       84.71
19780417    1080     31.22    212.18      51.0       16.44
19780421    1082    -29.80    188.70      58.0      -63.84
19780426    1083     14.87    183.82     251.0      -13.87
19780426    1084    -29.88    195.84     150.0       49.13
19780419    1085    -19.67    166.93     170.0       49.45
19780424    1086     20.97    188.73     693.0       10.62
19780421    1088     19.33    261.61      81.0       -0.43
19780425    1089     15.23    198.40       6.0       26.07
19780423    1090     17.94    214.49     151.0        4.93
19780423    1091     23.19    165.58      58.0        7.80
19780429    1092     21.68     75.19    1564.0       34.85
19780427    1093     28.29    135.73      82.0       24.85
19780425    1094    -25.11    106.14       9.0       -3.26
19780430    1095     22.44     55.32     467.0       -0.02
19780425    1096    -22.96    114.71       9.0        8.72
